"","Model.Name","Price","Manufacturing_year","Engine.capacity","Spare.key","Transmission","KM.driven","Ownership","Fuel.type","Imperfections","Repainted.Parts"
"185","2020 Maruti Ciaz ALPHA AT 1.5 SHVS PETROL",956000,2020,1462,"No","Automatic",12867,1,"Petrol",2,0
"186","2017 Maruti Baleno ALPHA PETROL 1.2",662000,2017,1197,"No","Manual",57040,1,"Petrol",10,4
"187","2012 Maruti Swift VXI",388000,2012,1197,"No","Manual",97699,1,"Petrol",0,0
"188","2019 Maruti Swift ZXI PLUS AMT",612000,2019,1197,"Yes","Automatic",90696,1,"Petrol",18,1
"189","2017 Maruti IGNIS ZETA 1.2",484000,2017,1197,"Yes","Manual",63716,1,"Petrol",5,0
"190","2016 Maruti Ciaz ZXI",528000,2016,1373,"No","Manual",57286,1,"Petrol",8,12
"191","2014 Maruti Ertiga VDI",591000,2014,1248,"Yes","Manual",119998,2,"Diesel",18,5
"192","2015 Maruti Baleno DELTA DIESEL 1.3",581000,2015,1248,"No","Manual",63916,2,"Diesel",8,1
"193","2019 Maruti S PRESSO VXI AMT",452000,2019,998,"No","Automatic",20840,1,"Petrol",9,3
"194","2015 Maruti Celerio ZXI",453000,2015,998,"Yes","Manual",69645,1,"Petrol",10,6
"195","2018 Maruti Celerio X ZXI AMT",494000,2018,998,"Yes","Automatic",14268,1,"Petrol",7,2
"196","2019 Maruti New Wagon-R VXI 1.2 AMT",615000,2019,1197,"No","Automatic",16416,2,"Petrol",7,0
"197","2012 Maruti Swift Dzire VXI",376000,2012,1197,"Yes","Manual",104807,3,"Petrol",0,0
"198","2018 Maruti Baleno ZETA CVT PETROL 1.2",592000,2018,1197,"No","Automatic",64827,1,"Petrol",3,9
"199","2015 Maruti Celerio ZXI (O)",375000,2015,998,"Yes","Manual",27204,1,"Petrol",16,4
"200","2019 Maruti New Wagon-R VXI (O) 1.2 AMT",502000,2019,1197,"No","Automatic",98073,1,"Petrol",10,13
